Question,Hint,Answer
What is the difference between encryption and hashing?,One is designed to be reversed with the proper key; the other normally isn't.,Encryption is reversible with the appropriate key; hashing is a one-way transformation commonly used for integrity or password verification.
What is full-disk or full-volume encryption primarily protecting?,Think data at rest.,It protects stored data from unauthorized access if the storage device is lost or stolen.
What is the difference between a virus and a worm?,Focus on how they spread.,"A virus generally relies on a host file or user action, while a worm can self-propagate."
What is the difference between phishing and social engineering?,One is a specific technique; the other is the broader category.,Phishing is a type of social engineering that uses deceptive messages to manipulate victims.
What is the difference between a full backup and an incremental backup?,Think everything versus changes since the last backup.,A full backup copies all selected data; an incremental backup copies data changed since the previous backup.
What is the difference between an incremental and differential backup?,Ask: changed since when?,Incremental: changed since the last backup. Differential: changed since the last full backup.
What is the difference between RPO and RTO?,One measures data; the other measures downtime.,RPO is acceptable data loss measured in time; RTO is acceptable recovery time.
What is the difference between RDP and SSH?,Think GUI versus command line.,RDP provides graphical remote Windows access; SSH provides encrypted command-line remote access.
What is the difference between RMM and a one-time remote-support session?,Think continuous management versus individual assistance.,RMM provides ongoing monitoring and management capabilities across systems; remote-support software is typically used for individual remote assistance.
What is the difference between a clean install and an upgrade?,Think fresh versus preserving the existing environment.,A clean install starts fresh; an upgrade replaces the existing OS while attempting to preserve supported applications and data.
What is the difference between NTFS and FAT32?,Think Windows features and file-size limits.,NTFS supports advanced Windows features such as permissions and encryption; FAT32 has a 4 GB individual-file limit and fewer security features.
What is the difference between a security control and a security policy?,One is a mechanism; the other is a rule or requirement.,"A security control is a technical, administrative, or physical measure; a policy defines organizational rules and requirements."
What is the purpose of documenting a change after it is completed?,Future technicians need to know what happened.,"It provides a record of what changed, when, why, by whom, and whether the change succeeded or required rollback."
What is the purpose of a rollback plan before making a major change?,Think failure recovery.,It provides a defined method for returning the system to its previous known-good state.
What should you do if a change causes unexpected production problems?,Don't keep pushing forward blindly.,Follow the approved rollback or incident procedure and escalate as required.
What is the purpose of a knowledge base article?,Think solve the same problem faster next time.,It documents a repeatable solution or useful technical information for future support cases.
What should happen when a technician cannot resolve an issue within their authority?,Don't exceed your permissions.,Escalate the issue according to the organization's support and escalation procedures.
What is the purpose of a ticket's resolution field?,Think future reference.,It records how the issue was resolved and provides useful information for future incidents.
What is a local user account?,Think account stored on one Windows computer.,An account whose credentials and permissions are managed locally on the device.
What is a domain account?,Think centrally managed organizational identity.,An account managed through a directory/domain environment and usable across authorized organizational resources.
What is Group Policy used for?,Think centrally applying Windows configuration rules.,It allows administrators to centrally configure and enforce Windows settings for users and computers.
What is an organizational unit in Active Directory?,Think grouping objects for administration.,An OU is a logical container used to organize directory objects and apply management policies.
What is folder redirection?,Think moving certain user folders to another location.,"A Windows management feature that redirects folders such as Documents to another path, often a network location."
What is a roaming profile?,Think user settings following the user between systems.,A user profile stored or managed so supported settings and data can follow the user across domain-joined computers.
What is the Windows Event Viewer especially useful for during troubleshooting?,Look for timestamps around when the failure occurred.,"Examining logged system, application, and security events to identify errors and relevant activity."
What is Task Manager's Startup section used for?,Think programs that launch when Windows starts.,Managing and viewing applications configured to start with Windows.
What is the Windows Services console used for?,Think background services.,"Starting, stopping, configuring, and viewing Windows services."
What is the Windows Registry?,Think hierarchical configuration database.,A database containing configuration information used by Windows and applications.
What is the purpose of Windows Disk Management?,Think storage layout.,"Creating, deleting, formatting, and managing partitions and volumes."
What is a partition?,Think logical division of a physical storage device.,A defined section of a storage device that can contain a file system or volume.
What is a volume?,Think storage space presented to the operating system.,A logical storage unit that can be formatted with a file system and assigned a drive letter or mount point.
What is a mount point?,Think Linux-style attachment of a file system.,A directory where a file system is attached and made accessible.
What is the purpose of a package repository?,Think trusted source for software packages.,It provides software packages that a package manager can download and install.
What is an OS update?,Think maintenance after installation.,"A software release that fixes bugs, improves functionality, or addresses security vulnerabilities."
What is an OS feature update?,Think larger update that can change capabilities.,A substantial operating-system update that may add features and modify system behavior.
What is a compatibility issue caused by an unsupported application?,"The OS changed, but the app didn't keep up.","The application may fail to install, crash, or lose functionality because it is not compatible with the OS."
What is a driver rollback used for?,Think the newest driver made things worse.,It restores a previous driver version when a newer driver causes problems.
What is a driver update used for?,Think newer hardware support or fixes.,"It installs a newer driver version to add compatibility, fix bugs, or improve device functionality."
What is the purpose of Windows Recovery options after a failed update?,Think getting Windows back to a working state.,"Recovery options can uninstall problematic updates, restore system state, repair startup, or reset/reinstall Windows depending on the situation."
What is a reset of Windows?,Think reinstalling or refreshing Windows rather than simply restoring a setting.,A recovery operation that reinstalls Windows while offering options for preserving or removing user data.
What is a bootable USB installer?,Think an external device containing OS installation files.,A USB device configured so a computer can boot from it and launch an operating-system installer.
What is a network boot?,Think booting installation or operating files from a network server.,A system starts using boot resources provided over the network.
What is a security baseline?,Think the organization's known-good minimum configuration.,A documented set of security configuration requirements used as a standard for systems.
What is hardening?,Think reducing attack opportunities.,"Applying security settings and removing unnecessary services, software, permissions, and access paths to reduce attack surface."
What is disabling unnecessary services an example of?,Less software exposed means fewer opportunities for attack.,System hardening.
What is an unpatched system an example of?,Think a known weakness left open.,A security vulnerability caused by missing updates.
What is a default password a security risk?,Attackers know common defaults.,Default credentials are often publicly known or easily guessed and should be changed.
What is a password manager used for?,Think unique passwords without memorizing them all.,It securely stores and helps generate/manage credentials.
What is account privilege escalation?,Think gaining more permissions than intended.,Obtaining higher-level privileges than the user or process was originally authorized to have.
What is UAC designed to reduce?,Think unauthorized administrative changes.,It helps prevent applications or users from silently making privileged system changes.
What is a secure browser configuration intended to reduce?,Think malicious sites and unwanted tracking or execution.,"It reduces exposure to unsafe content, malicious scripts, unwanted tracking, and insecure browser behavior."
What is private browsing mode primarily designed to do?,It isn't a security cloak.,It limits local browser history and related stored browsing data; it does not make the user anonymous or prevent network monitoring.
What is a browser certificate warning telling you?,Think the browser cannot establish expected certificate trust.,"The site's certificate may be invalid, expired, mismatched, untrusted, or otherwise problematic."
What is a pop-up blocker used for?,Think unwanted browser windows.,It prevents or limits unsolicited browser pop-up windows.
What is a browser extension?,Think an add-on that modifies browser functionality.,A software component that adds functionality or changes browser behavior.
What is the risk of installing an unknown browser extension?,Extensions can often access browser data.,"A malicious or excessive-permission extension can steal information, alter browsing, or track activity."
What is data sanitization?,Think making old data difficult or impossible to recover.,A process of removing sensitive data so it cannot be reasonably recovered.
What is shredding used for?,Think physically destroying paper or suitable media.,Physical destruction that makes the material difficult or impossible to reconstruct.
What is degaussing?,Think using a strong magnetic field.,A method of erasing magnetic media by disrupting its magnetic patterns.
What is cryptographic erasure?,Think destroying the key instead of overwriting every bit.,Making encrypted data inaccessible by securely destroying the encryption key.
What is physical destruction?,Think the storage medium is no longer usable.,Destroying the physical media so stored information cannot be practically recovered.
What is the purpose of secure disposal of storage devices?,Think sensitive information can survive deletion.,To prevent unauthorized recovery of data from discarded media.
What is an administrative security control?,Think policies and procedures.,"A security measure implemented through management, policy, training, or procedures."
What is a technical security control?,Think technology enforcing security.,"A security measure implemented using technology such as firewalls, encryption, or access controls."
What is a physical security control?,Think something protecting the physical facility or equipment.,"A security measure such as locks, cameras, guards, or access barriers."
What is a security guard an example of?,Think human physical protection.,A physical security control.
What is a firewall an example of?,Think technical access control for network traffic.,A technical security control.
What is security awareness training an example of?,Think people and procedures.,An administrative security control.
What is the purpose of network segmentation from a security perspective?,Think limiting how far an attacker can move.,It separates systems or networks to limit unauthorized access and lateral movement.
What is a guest network used for?,Think visitors shouldn't be on the same trusted network as internal devices.,It provides isolated or restricted network access for untrusted or guest devices.
What is MAC filtering?,Think allowing or denying devices based on their hardware addresses.,A wireless access-control feature that permits or blocks devices based on MAC addresses.
Why is MAC filtering not sufficient as the primary wireless security control?,MAC addresses can be observed and spoofed.,An attacker can potentially bypass it by spoofing an allowed MAC address.
What is disabling SSID broadcast?,Think hiding the network name.,A configuration that prevents the access point from openly advertising its SSID; it is not strong security by itself.
What is the purpose of changing default router administrator credentials?,Think attackers know manufacturer defaults.,It prevents attackers from using publicly known default credentials.
What is firmware updating on a SOHO router used for?,Think fixing bugs and vulnerabilities.,"It provides security fixes, bug fixes, and sometimes new functionality."
What is a router administration interface?,Think where you configure network settings.,A web or command-line interface used to configure the router.
What is a firewall rule?,Think a condition controlling traffic.,A configured condition specifying whether matching network traffic is allowed or denied.
What is port forwarding?,Think exposing an internal service through the router.,A router configuration that forwards incoming traffic from a public address/port to an internal device and port.
Why is unnecessary port forwarding a security risk?,It creates an externally reachable path into the internal network.,It exposes internal services to potential Internet-based attacks.
What is a DMZ in a SOHO router context?,Think placing a device outside normal inbound filtering.,A router feature that places a specified internal device in a less-restricted inbound network position.
Why can placing a computer in a SOHO DMZ be dangerous?,The device becomes much more exposed.,It can expose many services directly to unsolicited inbound Internet traffic.
What is a software firewall?,Think firewall running on the endpoint.,A host-based firewall implemented in software on an individual device.
What is an intrusion detection system?,Think detect rather than necessarily block.,A system that monitors activity for suspicious behavior or known attack patterns.
What is an intrusion prevention system?,Think detect and actively stop.,A system that detects malicious activity and can take action to block or prevent it.
What is malware quarantine?,Think isolate the suspicious file instead of letting it run.,Moving suspected malicious files into an isolated location where they cannot normally execute.
What is reimaging a computer?,Think replacing the system with a known-good image.,Restoring a computer using a prepared operating-system image and configuration.
When is reimaging appropriate during malware remediation?,Think when you need high confidence that the system is clean.,When malware cannot be reliably removed or the organization requires a known-good rebuild.
What should be done before reimaging if user data must be preserved?,Don't destroy the only copy.,Back up or otherwise securely preserve required user data according to procedure.
What is the purpose of scheduling anti-malware scans?,Think continuous protection rather than one emergency scan.,To regularly check systems for malware and reduce the chance that threats remain undetected.
What is the purpose of user education after malware removal?,"Fix the cause, not just the symptoms.",To reduce the chance of reinfection by teaching the user how the malware was introduced and how to avoid similar threats.
What Windows feature can help troubleshoot a problematic startup application?,Think controlling startup behavior.,Task Manager's Startup controls or System Configuration can help identify startup programs.
What can cause Windows to display a black screen after login?,"Think graphics, shell, display, or startup problems.","Driver problems, shell/startup failures, display issues, or corrupted system components can cause it."
What is a missing DLL error?,Think Windows cannot find a required library.,An application or system component cannot locate a required dynamic-link library.
What can cause an application to report a missing DLL?,Think incomplete software installation or corruption.,"A missing or corrupted dependency, incomplete installation, or incompatible software version."
What is application compatibility mode in Windows used for?,Think old software on newer Windows.,It can apply compatibility settings intended to help older applications run on newer Windows versions.
What is a file association?,Think what application opens a particular file type.,A Windows setting that associates a file extension or type with a default application.
What can cause files to open in the wrong application?,Think the association changed.,An incorrect or changed file association.
What is a default application?,Think the program Windows chooses automatically.,The application Windows uses by default to open a particular file type or perform a particular action.
What is a permissions error when opening a file?,Think identity versus access.,The user or process does not have sufficient permissions to access the file or folder.
What is a corrupted user profile?,Think the account works strangely while another account works normally.,"A damaged Windows user profile can cause settings, applications, or desktop behavior to malfunction."
What is a temporary user profile symptom?,Think Windows logs in but your normal settings are missing.,Windows may display a temporary profile when it cannot load the normal user profile.
What is the purpose of creating a new user profile during troubleshooting?,Think determining whether the problem belongs to the user profile.,It helps determine whether a problem is isolated to the original profile.
What is a kernel panic?,Think Linux/macOS equivalent of a serious system-level crash.,A critical operating-system failure that stops normal execution.
What is a Linux distribution?,Think Linux plus its software and management ecosystem.,"A packaged operating-system environment built around the Linux kernel, including tools, libraries, and software."
What is a shell in Linux?,Think command interpreter.,A program that interprets and executes user commands.
What is Bash?,Think common Linux shell.,A widely used Unix/Linux command shell.
What is a process ID?,Think the number identifying a running process.,A PID is a numeric identifier assigned to a running process.
What is the purpose of kill in Linux?,Think sending a signal to a process.,"It sends a signal to a process, commonly to request termination."
What is grep commonly paired with in Linux troubleshooting?,Think filtering command output.,It can filter text output from other commands to find relevant lines.
What is the purpose of chmod 755 conceptually?,Think owner can modify; others can execute/read.,It gives the owner read/write/execute permissions and group/others read/execute permissions.
What is a Linux file permission's read bit?,Think viewing file contents or listing directory information.,It grants read access.
What is a Linux file permission's write bit?,Think modifying content.,It grants write access.
What is a Linux file permission's execute bit?,"For a file, think running it; for a directory, think entering/searching it.",It permits execution of a file or traversal/search of a directory.
What is a command-line pipe in Linux?,Think sending one command's output into another.,The pipe operator passes the output of one command as input to another.
What does grep combined with a pipe allow you to do?,Think narrow a large command output.,It filters command output to lines matching a specified pattern.
What is a shell script commonly used for?,Think automating multiple commands.,Automating a sequence of commands and administrative tasks.
What is a batch file commonly used for?,Think Windows command automation.,Automating command-line tasks in Windows.
What is PowerShell especially useful for?,Think Windows administration at scale.,"Automating and managing Windows systems using commands, objects, and scripts."
What is a script's exit code?,Think how the script tells the caller whether it succeeded.,A numeric status returned by a program or script indicating success or failure.
What is a script idempotency concern?,Think running the same script twice.,A script should be designed carefully so repeated execution does not cause unintended duplicate or destructive changes.
What is the purpose of testing a script in a lab environment first?,Think catch mistakes before production.,"To identify syntax, logic, permission, compatibility, and destructive behavior before affecting real systems."
What is remote desktop access?,Think controlling another computer's graphical desktop.,Accessing and interacting with a remote computer's desktop through a network.
What is remote command-line access?,Think managing a system without its graphical desktop.,Executing commands on a remote system through a command-line protocol such as SSH or WinRM.
What is a VPN concentrator?,Think the endpoint that terminates many VPN connections.,A network device or service that terminates and manages VPN connections.
What is split tunneling?,Think only some traffic enters the VPN.,A VPN configuration where some traffic uses the VPN while other traffic goes directly to the Internet.
What is full-tunnel VPN?,Think all appropriate remote traffic goes through the VPN.,A configuration where the VPN carries the client's network traffic through the organization's or VPN provider's tunnel.
What is RMM auditing important for?,Think accountability.,It records or helps track who accessed systems and what remote-management actions occurred.
What is the security risk of unattended remote sessions?,Think someone else could use an authenticated session.,An unauthorized person may gain control of the remote system if the session is exposed.
What is screen sharing different from remote desktop control?,Think viewing versus controlling.,Screen sharing primarily displays another user's screen; remote control additionally allows interaction with the remote system.
What is an AI data source problem?,Think garbage or incomplete training information.,AI output quality depends partly on the data used to train or provide context to the system.
What is AI accuracy a concern?,Think confident output can still be wrong.,AI-generated information should be verified before being relied upon for technical or business decisions.
What is an AI policy used for in an organization?,Think rules for employees using AI.,"It defines acceptable AI use, data handling, privacy, security, and other organizational requirements."
What is the security concern when uploading customer data to a public AI service?,Think the data leaves your controlled environment.,Confidential or personally identifiable information could be exposed or processed outside organizational controls.
What is a good use of AI for an IT technician?,Think assistance that still gets reviewed.,"Drafting documentation, summarizing information, generating ideas, or assisting with routine work while validating the output."
What is a bad use of AI for an IT technician?,Think blindly trusting generated commands.,Running unverified AI-generated commands or scripts against production systems.
What is an AI hallucination especially dangerous for technical support?,A believable wrong command can cause real damage.,"It may produce incorrect troubleshooting steps, commands, configuration values, or technical explanations."
What is the purpose of documentation in IT support beyond closing a ticket?,Think institutional memory.,It preserves technical history and allows other technicians to understand the environment and repeat successful solutions.
What is the purpose of a standard operating procedure?,Think everyone follows the same proven process.,An SOP documents a standardized procedure for performing a task consistently and safely.
What is the purpose of change approval?,Think preventing unauthorized production changes.,"It ensures changes are reviewed for risk, impact, authorization, and rollback before implementation."
What is a maintenance window?,Think scheduled downtime or reduced-risk period.,A planned period when maintenance or changes can be performed with minimal business impact.
What is a business impact analysis concerned with?,Think what happens to the organization if something fails.,It identifies how disruptions affect business operations and helps prioritize recovery requirements.
What is disaster recovery?,Think restoring IT operations after a major disruption.,The processes and plans used to restore systems and services after a disaster or major outage.
What is business continuity?,Think keeping critical business functions operating.,Plans and capabilities that allow essential business operations to continue during disruptions.
What is a recovery site?,Think another location where systems can be restored.,A facility or environment prepared to support IT recovery after a disruption.
What is an off-site backup?,Think backup stored away from the primary location.,A backup copy stored in a different physical or logical location to protect against local disasters.
What is a cloud backup?,Think backup stored with a cloud provider.,A backup service that stores copies of data in cloud infrastructure.
What is retention policy?,Think how long backups or records are kept.,"Rules defining how long data, backups, or records must be retained before deletion or disposal."
What is data minimization?,Think don't collect or keep more sensitive data than necessary.,Limiting collection and retention of personal or sensitive data to what is necessary.
What is clean desk policy?,Think sensitive documents shouldn't sit unattended.,A policy requiring sensitive information and materials to be secured when not actively in use.
What is shoulder surfing an example of?,Think physical observation of secrets.,A social-engineering or information-disclosure attack.
What is a locked server room an example of?,Think restricting physical access.,A physical security control.
What is an access badge an example of?,Think proving permission to enter.,A physical authentication/access-control mechanism.
What is a privacy screen used for?,Think people beside you shouldn't see the display.,It reduces visual exposure of sensitive information to nearby observers.
What is the purpose of shredding sensitive paper documents?,Think discarded documents can still reveal information.,To physically destroy sensitive information so it cannot be reconstructed easily.
What is the purpose of secure erase software?,Think normal deletion doesn't necessarily erase the data.,It overwrites or otherwise sanitizes storage data to reduce the chance of recovery.
What does deleting a file normally do?,Think the data may still exist until overwritten.,"It removes the file's directory/reference information, but the underlying data may remain recoverable until overwritten or sanitized."
What is the purpose of an incident ticket?,Think track a security event separately from normal support.,"To document, track, escalate, and coordinate response to a security incident."
What should a technician do if they suspect a compromised workstation?,Think contain first and follow procedure.,"Follow the organization's incident-response process, which may include isolating the system and escalating to security personnel."
What is the difference between a vulnerability and an exploit?,One is the weakness; the other takes advantage of it.,A vulnerability is a weakness; an exploit is a technique or code that takes advantage of that weakness.
What is a threat?,Think potential cause of harm.,"A person, event, condition, or activity capable of causing harm to a system or organization."
What is risk?,Think likelihood combined with potential impact.,The potential for loss or harm resulting from a threat exploiting a vulnerability.
What is a security incident?,Think an event that violates or threatens security.,"An event that compromises or threatens confidentiality, integrity, or availability or violates security policy."
What is confidentiality?,Think preventing unauthorized disclosure.,Ensuring information is accessible only to authorized parties.
What is integrity?,Think preventing unauthorized changes.,Ensuring information remains accurate and unaltered except by authorized actions.
What is availability?,Think keeping systems and data accessible when needed.,Ensuring authorized users can access systems and information when required.
What three concepts make up the CIA triad?,Three fundamental security goals.,"Confidentiality, integrity, and availability."
What does encryption primarily protect?,Think confidentiality.,Encryption primarily protects the confidentiality of data by making it unreadable without the appropriate key.
What does hashing primarily help provide?,Think detecting changes or securely storing password representations.,Hashing can support integrity verification and password verification without storing the original password.
What is a salt used for with password hashing?,Think making identical passwords produce different hashes.,A random value added to a password before hashing to make precomputed attacks more difficult.
What is a password hash?,Think stored representation rather than plaintext.,A one-way cryptographic representation of a password used for verification.
What is a brute-force attack against passwords?,Think exhaustive guessing.,Trying many possible passwords until one succeeds.
What is account enumeration?,Think discovering which usernames/accounts exist.,Determining whether specific accounts or usernames are valid.
What is multifactor authentication stronger than password-only authentication?,Think stolen passwords aren't sufficient.,It requires additional authentication evidence beyond the password.
What is a security token?,Think something you possess.,A physical or software-based credential used as an authentication factor.
What is a hardware security key?,Think physical cryptographic authentication device.,"A hardware token used to provide strong authentication, often using public-key cryptography."
What is biometric authentication?,Think a physical characteristic.,"Authentication using characteristics such as fingerprints, facial features, or iris patterns."
What is a false acceptance in biometrics?,Think the system accepts the wrong person.,A biometric system incorrectly authenticates an unauthorized person.
What is a false rejection in biometrics?,Think the system rejects the legitimate user.,A biometric system incorrectly denies an authorized person.
What is the purpose of account permissions?,Think controlling access to resources.,They determine which actions a user or group may perform on resources.
What is group-based access control?,Think assign permissions to groups instead of individuals.,Users receive permissions through membership in authorized groups.
What is the principle of least privilege applied to administrators?,Even admins should only use elevated rights when needed.,Administrative privileges should be limited to necessary tasks and used only when required.
What is Run as administrator used for in Windows?,Think a task needs elevated privileges.,It launches a program with elevated administrative privileges when authorized.
What is the security risk of always running as administrator?,Every malicious program inherits your power.,A compromised application or user action can make privileged system changes more easily.
What is a standard user account useful for?,Think reducing unnecessary administrative access.,It limits the user's ability to make system-wide changes without elevation.
What is a local firewall rule useful for?,Think allowing one service while blocking another.,It controls inbound or outbound traffic according to configured criteria.
What is an inbound connection?,Think traffic coming into a system.,Network traffic entering a host.
What is an outbound connection?,Think traffic leaving a system.,Network traffic originating from a host and going outward.
What is a browser's certificate authority?,Think trusted organization validating certificates.,A CA is an entity trusted to issue or validate digital certificates.
What does HTTPS provide that HTTP does not?,Think encryption and authentication of the connection.,HTTPS uses TLS to protect data in transit and authenticate the server through certificates.
What is a malicious browser redirect?,Think you enter one site and end up somewhere unexpected.,"A redirection to an unintended or potentially malicious website, often caused by malware, extensions, DNS manipulation, or compromised sites."
What is private browsing NOT designed to hide from an employer or ISP?,Think local history versus network visibility.,"Private browsing does not inherently hide activity from network administrators, employers, ISPs, or websites."
What is the purpose of clearing browser cache?,Think stale locally stored web resources.,It removes cached web content and can help resolve certain stale or corrupted browser-content problems.
What is the purpose of clearing browser cookies?,Think stored website state.,"It removes stored website session and preference data, which can log users out and reset site state."
What is a browser cache?,Think locally stored copies of web resources.,Temporary locally stored web content used to improve page-loading performance.
What is a browser cookie?,Think small piece of website-related state stored by the browser.,"Data stored by websites in the browser to maintain sessions, preferences, or tracking information."
What is a browser's password manager used for?,Think storing credentials in the browser.,It stores and can autofill saved usernames and passwords.
What is the security risk of saving passwords in an unmanaged browser?,Think someone else may access the browser profile.,An unauthorized person or malware with access to the browser profile may obtain saved credentials.
What is a software update channel?,Think how updates are distributed to systems.,A mechanism or source through which software updates are delivered.
What is patch management?,Think keeping systems updated in a controlled way.,"The process of identifying, testing, approving, deploying, and tracking software patches."
What is a vulnerability scan?,Think looking for known weaknesses.,An automated assessment that identifies potential vulnerabilities in systems or software.
What is the purpose of endpoint isolation?,Think disconnecting an infected machine from the environment.,To limit an endpoint's ability to communicate with other systems while it is investigated or remediated.
What is the difference between quarantine and deletion during malware removal?,One isolates it; the other removes it.,Quarantine isolates the suspected malware so it cannot normally execute; deletion removes it.
What is reinstallation of an application useful for?,Think replacing damaged application files.,It can repair a corrupted or incomplete application installation.
What is clearing application cache useful for on mobile devices?,Think temporary app data became corrupted.,It can remove cached data that may be causing application problems without necessarily removing all application data.
What is a factory reset?,Think returning the mobile device to its original software state.,A reset that removes user data and settings and restores the device to its factory software configuration.
What should be backed up before a factory reset?,Think reset can erase the device.,"Any required user data, settings, or other information that must be preserved."
What is a mobile OS update useful for?,Think security plus compatibility.,"It can provide security patches, bug fixes, and new features."
What is the security risk of rooting or jailbreaking a mobile device?,Think bypassing built-in restrictions.,"It can weaken security controls, bypass application restrictions, and increase exposure to malicious software."
What is a rooted Android device?,Think elevated control beyond normal user restrictions.,An Android device modified to provide root-level privileges.
What is a jailbroken iPhone?,Think bypassing Apple's normal software restrictions.,An iPhone modified to bypass Apple's standard security and software restrictions.
What is mobile app sandboxing?,Think isolating applications from each other.,A security mechanism that limits an application's access to other applications and protected system resources.
What is a secure lock screen?,Think the first barrier when the phone is unattended.,"A PIN, password, pattern, or biometric control that prevents unauthorized local access."
What is remote lock?,Think locking a lost device from somewhere else.,A management feature that remotely locks a device.
What is GPS location tracking a security concern?,Think privacy.,Location data can reveal sensitive information about a person's movements and activities.
What is an MDM policy used to enforce?,Think organization-wide mobile security settings.,"Requirements such as screen locks, encryption, application controls, remote wipe, and configuration settings."
What is the purpose of a VPN profile on a managed mobile device?,Think standardized secure remote network access.,It configures the device to connect to an organization's VPN service using approved settings.
What is a mobile device certificate used for?,Think stronger device or user authentication.,A digital certificate can authenticate a device or user to an organizational service.
What is an application crash log useful for?,Think clues about why the app failed.,It provides diagnostic information that can help identify the cause of application failures.
What is a memory-pressure problem on a mobile device?,Think too many apps or insufficient available RAM.,"Insufficient available memory can cause apps to close, slow down, or become unstable."
What is a software compatibility matrix?,Think matching software versions to supported environments.,"A reference showing which software versions are supported with particular operating systems, hardware, or dependencies."
What is the purpose of verifying system requirements before software installation?,Think avoid installing something that cannot run.,"To ensure the device meets CPU, memory, storage, OS, architecture, and dependency requirements."
What is a 32-bit versus 64-bit application compatibility issue?,Think architecture.,Some applications or drivers are limited to a particular CPU/OS architecture.
What is a service dependency?,Think one service needs another service running.,A service or component required for another service or application to function.
What is the purpose of restarting a service?,Think a background component is stuck.,It can reload the service and clear certain transient failures without rebooting the entire system.
What is the purpose of rebooting after installing a driver or update?,Think some changes require a fresh system start.,It allows components that load during boot to initialize with the new configuration.
What is a hard reboot?,Think power cycling rather than a normal shutdown.,Forcing a system to restart or power off when normal software shutdown is unavailable.
What is a soft reboot?,Think normal operating-system restart.,Restarting the system through the operating system's normal shutdown/restart process.
What is a system log?,Think recorded events.,"A record of system activity, errors, warnings, or other events used for monitoring and troubleshooting."
What is a crash dump?,Think snapshot of system state when a serious failure occurs.,A file containing diagnostic information captured after a system crash.
What is a kernel-mode driver problem capable of causing?,Think driver operates at a privileged level.,A faulty kernel-mode driver can cause serious system instability or a BSOD.
What is the purpose of Windows Memory Diagnostic?,Think testing RAM.,It tests system memory for potential hardware errors.
What is disk cleanup used for?,Think unnecessary files.,A Windows utility for removing certain temporary and unnecessary files to recover storage space.
What is storage sense?,Think Windows automatically cleaning unnecessary storage.,A Windows feature that can automatically remove certain temporary and unnecessary files.
What is a temporary file?,Think software-created data that may only be needed briefly.,A file created for temporary use by an application or operating system.
What is an environment variable?,Think configuration value accessible to processes.,A named value used by the operating system or applications to provide configuration information.
What is PATH used for?,Think finding executable commands.,The PATH environment variable tells the system where to search for executable programs.
What is a mapped drive?,Think a network share appears as a drive letter.,A network resource assigned a local drive-letter mapping.
What is a network share?,Think folder made available over the network.,A shared resource that authorized users can access over a network.
What is the purpose of net use when troubleshooting mapped drives?,"Think connect, disconnect, or inspect network resources.",It manages connections to shared network resources.
What is an administrative share in Windows?,Think hidden system share used by administrators.,A built-in Windows network share such as C$ that provides administrative access when authorized.
What is a hidden share?,Think share name ending with a dollar sign.,A Windows network share that is not normally displayed when browsing available shares.
What is the purpose of Windows Firewall profiles?,Think different network trust environments.,"Windows uses profiles such as Domain, Private, and Public to apply different firewall configurations."
Which Windows firewall profile is intended for an untrusted network such as public Wi-Fi?,Think coffee shop.,Public.
What is the purpose of the Windows Private network profile?,Think trusted local network.,It is intended for trusted networks where device discovery and related functionality may be appropriate.
What is the purpose of the Domain network profile?,Think organization-managed Windows environment.,It applies when a computer is connected to an authenticated domain network.
What is the purpose of Windows Defender Antivirus?,Think built-in malware protection.,"It detects, blocks, and removes malware and other threats."
What is real-time protection versus a scheduled scan?,One watches continuously; the other checks at a planned time.,Real-time protection monitors activity continuously; a scheduled scan performs a deliberate malware scan at a configured time.
What is the purpose of an antivirus exclusion?,Think telling security software not to scan something.,"It prevents specified files, folders, processes, or extensions from being scanned; exclusions should be used cautiously."
What is the security risk of excessive antivirus exclusions?,Think attackers could hide there.,Malware could exploit excluded locations or processes to avoid detection.
What is a security event log useful for?,Think authentication and security-related activity.,It records security-related events such as logons and other audited actions.
What is auditing?,Think recording activity for accountability.,"The process of recording and reviewing events or actions for security, compliance, and troubleshooting."
What is nonrepudiation?,Think proving someone performed an action.,The ability to provide evidence that a specific party performed or approved an action.
What is digital signing used for?,Think proving origin and integrity.,A digital signature helps verify who signed data and whether it was altered after signing.
What is a certificate used for in TLS?,Think binding an identity to a public key.,A digital certificate helps authenticate a server or other entity and associates its identity with a public key.
What is a public key?,Think cryptographic key that can be shared.,A key intended to be distributed publicly and used in asymmetric cryptography.
What is a private key?,Think secret half of an asymmetric key pair.,A key that must be protected and is used for operations such as decryption or digital signing.
What is asymmetric encryption?,Think public/private key pair.,Cryptography that uses a mathematically related public and private key pair.
What is symmetric encryption?,Think one shared secret key.,Cryptography that uses the same secret key for encryption and decryption.
What is the purpose of TLS?,Think protecting network communications.,"TLS provides encryption, integrity, and authentication for supported network communications."
What is a VPN tunnel protecting?,Think traffic between endpoints.,It protects traffic traveling through an untrusted network by encapsulating and encrypting it according to the VPN technology.
What is a remote-access security consideration when using third-party screen-sharing software?,Think the vendor's infrastructure may be part of the trust chain.,"Verify the tool is approved, authenticated, encrypted, properly configured, and compliant with organizational policy."
What is a remote-access security consideration for SSH?,Think credentials and keys.,"Use strong authentication, protect private keys, restrict access, and keep the SSH service patched."
What is a remote-access security consideration for RDP?,Think exposed Windows graphical access.,"Restrict exposure, use strong authentication and MFA where supported, patch the system, and use VPN or other approved protections when appropriate."
