Question,Hint,Answer
What is ABAC?,Think attributes.,"Attribute-Based Access Control, where access decisions are based on attributes of users, resources, actions, and environmental conditions."
What is rule-based access control?,Access is determined by predefined rules.,An access control model in which access decisions are based on defined rules or conditions.
What is a privileged account?,It has elevated permissions.,An account with permissions beyond those normally granted to standard users.
What is privileged access management (PAM)?,Think controlling and monitoring powerful accounts.,"Security controls and technologies used to manage, secure, monitor, and limit privileged access."
What is just-in-time access?,Privileged access exists only when needed.,Granting elevated permissions temporarily for a specific task or time period.
What is network access control (NAC)?,It controls which devices can connect to a network.,A security technology that evaluates and controls device access to a network.
What is endpoint security?,Protect individual devices.,"Security controls designed to protect endpoints such as laptops, desktops, and servers."
What is application allowlisting?,Only approved applications are permitted to run.,A security control that allows execution only of explicitly approved software.
What is application blocklisting?,Known bad applications are prohibited.,A security control that prevents specified applications from executing.
What is sandboxing?,Isolate code from the rest of the system.,Running code or applications in a restricted environment to limit potential damage.
What is a secure enclave?,Think isolated hardware-backed security area.,A protected execution or storage environment designed to isolate sensitive operations or data.
What is a trusted platform module (TPM)?,Think hardware-backed keys and platform security.,"A hardware security component used for cryptographic operations, key storage, and platform integrity functions."
What is measured boot?,The system records measurements of boot components.,A boot process in which components are measured and recorded to support integrity verification.
What is secure boot?,Only trusted boot components should execute.,A firmware feature that verifies the digital signatures of boot components before execution.
What is a hardware root of trust?,Start security from a trusted hardware component.,A hardware-based foundation used to establish and verify system trust.
What is cryptographic obfuscation?,"Make information harder to understand, but don't confuse it with encryption.",Transforming information to make it difficult to understand without necessarily providing cryptographic security.
What is steganography?,Hide the existence of the message rather than simply encrypting it.,Concealing information within another file or medium.
What is a brute-force cryptographic attack?,Try possible keys until one works.,An attack that systematically attempts possible cryptographic keys.
What is a collision in hashing?,Two different inputs produce the same hash.,A situation where two distinct inputs produce the same hash value.
What is a cryptographic nonce?,Think number used once.,A unique or sufficiently unpredictable value used once in a cryptographic operation.
What is perfect forward secrecy?,Compromise of a long-term key should not expose old sessions.,A property where compromise of a long-term private key does not allow decryption of previously captured sessions.
What is a digital certificate's private key used for in a digital signature?,The signer uses the private half.,The private key is used to create the digital signature.
What key is used to verify a digital signature?,Use the matching public half.,The signer's public key.
What key encrypts data for a recipient in public-key encryption?,You need the recipient to be the only one able to decrypt it.,The recipient's public key.
What key decrypts public-key encrypted data?,The recipient keeps this secret.,The recipient's private key.
What is key stretching?,Make password guessing more computationally expensive.,Applying a computationally expensive process to a password or key material to slow brute-force and dictionary attacks.
What is PBKDF2?,Think password-based key derivation.,A password-based key derivation function that uses repeated cryptographic operations to make password cracking more expensive.
What is bcrypt?,A password hashing function designed to be computationally expensive.,A password hashing algorithm designed to resist brute-force attacks through configurable computational cost.
What is Argon2?,Modern password hashing designed to resist specialized cracking hardware.,A password hashing function designed to be memory-hard and resistant to brute-force attacks.
What is the purpose of a cryptographic salt?,Make identical passwords produce different stored hashes.,A unique random value added to password input before hashing.
What is certificate pinning?,The application expects a specific certificate or public key.,A technique that restricts trusted certificates or public keys for a specific application or service.
What is a self-signed certificate?,The certificate is signed by itself rather than a trusted CA.,A certificate signed by its own private key instead of by an external certificate authority.
What is a wildcard certificate?,One certificate covers multiple hostnames under a domain.,A certificate containing a wildcard name that can authenticate multiple subdomains.
What is a root CA?,It is at the top of the certificate trust chain.,A certificate authority whose certificate is inherently trusted by a system or trust store.
What is an intermediate CA?,It sits between the root CA and end-entity certificates.,A subordinate certificate authority that issues certificates on behalf of a root or higher-level CA.
What is certificate expiration?,Certificates have a validity period.,The point at which a certificate is no longer considered valid because its defined validity period has ended.
What is a certificate revocation?,Invalidate a certificate before its normal expiration.,The process of declaring a certificate no longer trusted before its expiration.
What is a security control gap?,Think missing or inadequate protection.,"A situation where required security protection is absent, insufficient, or ineffective."
What is a vulnerability disclosure program?,A formal way for researchers to report security weaknesses.,A program that provides a defined process for reporting and handling discovered vulnerabilities.
What is a bug bounty program?,Organizations reward researchers for qualifying security findings.,A program that provides rewards for responsibly reported vulnerabilities.
What is responsible disclosure?,Report vulnerabilities through an approved process rather than publicly exploiting them.,A practice of reporting security vulnerabilities to the responsible organization and allowing an opportunity for remediation.
What is CVE?,Think standardized vulnerability identifier.,"Common Vulnerabilities and Exposures, a system providing standardized identifiers for publicly known vulnerabilities."
What is CVSS?,Think vulnerability severity score.,"Common Vulnerability Scoring System, a framework for rating the severity of vulnerabilities."
What is CWE?,Think weakness category rather than a specific vulnerability.,"Common Weakness Enumeration, a catalog of common software and hardware weaknesses."
What is ATT&CK?,Think adversary behavior knowledge base.,"MITRE ATT&CK, a knowledge base of adversary tactics and techniques based on real-world observations."
What is the Cyber Kill Chain?,Think stages of an attack.,A model describing stages attackers may use during a cyberattack.
What is reconnaissance?,The attacker gathers information before attacking.,The process of collecting information about a target.
What is OSINT?,Information gathered from publicly available sources.,Open Source Intelligence.
What is active reconnaissance?,The target is directly interacted with.,"Reconnaissance involving direct interaction with the target, such as scanning."
What is passive reconnaissance?,Gather information without directly interacting with the target.,Reconnaissance using publicly available or indirectly obtained information.
What is port scanning?,Check which network ports are accessible.,"A technique used to identify open, closed, or filtered network ports."
What is vulnerability scanning?,Look for known weaknesses after identifying systems and services.,Automated or semi-automated identification of known vulnerabilities.
What is a security control assessment?,Determine whether controls are implemented and effective.,An evaluation of security controls to determine whether they meet defined requirements.
