Question,Hint,Answer
What is cellular roaming?,Think your phone using another carrier's network when outside its home carrier's coverage area.,Cellular roaming allows a device to use another carrier's network under an agreement with the home carrier.
What is a SIM/eSIM?,It identifies/subscribes the device to a cellular service.,A SIM or eSIM stores subscriber-related information used to authenticate a device/service on a cellular network.
What is IMEI?,Think a unique identifier associated with the mobile device hardware rather than the subscriber account.,IMEI is an identifier associated with a cellular device.
What is airplane mode?,Think quickly disabling wireless radios for travel or other situations.,Airplane mode disables some or all wireless radios according to the device's configuration.
What is a mobile device's MDM?,Think a business managing company-owned phones centrally.,"Mobile Device Management allows an organization to configure, secure, monitor, and manage mobile devices."
What is remote wipe?,Think a lost company phone containing sensitive data.,Remote wipe allows authorized management systems to erase data from a device remotely.
What is a printer driver?,The operating system needs software that knows how to communicate with the printer.,A printer driver translates operating-system print jobs into commands the printer understands.
A network printer works for everyone except one user. What should you check?,"If the printer and network work for everyone else, focus on that workstation.","Check the user's printer mapping, driver, permissions, print queue, network connectivity, and spooler."
A printer is visible by IP but won't print. What should you investigate?,Network reachability doesn't prove the printer service/queue is functioning.,"Check printer status, protocol/port, print queue, driver, printer configuration, and whether the printer is actually accepting jobs."
What is a printer's IP address used for?,Think network communication rather than the printed page.,It identifies the printer on the IP network so clients and print servers can communicate with it.
What is a print queue?,Think a waiting line for print jobs.,A print queue stores and manages jobs waiting to be processed by a printer.
What does 'printer offline' mean?,The operating system cannot currently communicate with the printer as expected.,"The printer is considered unavailable/offline, potentially due to power, network, USB, configuration, or driver problems."
What is a printer maintenance kit?,Think scheduled replacement of wear components in higher-volume printers.,"A maintenance kit typically contains serviceable wear components such as rollers, fusers, or related parts depending on the printer model."
What is a scanner's ADF?,Think scanning multiple pages without manually placing each page on the glass.,An Automatic Document Feeder feeds multiple pages through the scanner automatically.
What is duplex scanning?,Think scanning both sides of a document.,Duplex scanning captures both sides of a page.
What is OCR?,Think turning a picture of printed text into editable/searchable text.,Optical Character Recognition converts text in scanned images into machine-readable text.
What is a KVM switch?,"Think controlling multiple computers with one keyboard, video display, and mouse.",A KVM switch allows one set of keyboard/video/mouse peripherals to control multiple computers.
What is a biometric reader used for?,Think fingerprint or facial authentication at a workstation.,It captures a biometric characteristic for identity verification/authentication.
What is a barcode scanner?,Think retail checkout or inventory tracking.,A barcode scanner reads encoded visual patterns and converts them into data.
What is a webcam?,Think video input rather than display output.,"A webcam captures video for applications such as meetings, streaming, or security."
What is a microphone?,Think audio input.,A microphone converts sound into an electrical/digital signal that a computer can process.
A USB microphone is detected but produces no sound. What should you check?,Detection doesn't mean the correct input is selected.,"Check application input selection, operating-system sound settings, mute/volume, permissions, drivers, and physical connections."
A monitor displays 'No Signal' after installing a graphics card. What should you check first?,"Think cable path, correct output, seating, and power.","Check the monitor input, cable, GPU seating, GPU power connectors, and whether the cable is connected to the GPU rather than the motherboard when appropriate."
A PC has no video after a RAM upgrade. Why might RAM still be relevant?,The computer may not complete POST even though the symptom is 'no display.',"Incorrectly seated, incompatible, or faulty RAM can prevent successful POST and therefore prevent video output."
What is a CMOS/UEFI settings reset useful for?,Think restoring firmware configuration when bad settings prevent normal startup.,"Resetting firmware settings can resolve configuration problems such as incorrect memory, boot, or hardware settings."
What is overclocking?,Think intentionally running components beyond their normal rated settings.,"Overclocking increases component operating parameters to gain performance, potentially increasing heat, power consumption, and instability."
Why can insufficient PSU capacity cause intermittent problems?,The computer may work at low load but fail when the GPU/CPU demands more power.,"An inadequate or failing PSU may become unstable under load, causing crashes, shutdowns, or resets."
What is a modular PSU?,Think detachable power cables.,"A modular PSU allows some or all power cables to be connected only when needed, improving cable management."
Why should you never casually mix modular PSU cables between different PSU models?,The connector may fit even though the pinout can differ.,"Modular PSU cable pinouts can vary between models/manufacturers, and using the wrong cable can damage components."
What is a motherboard form factor?,Think physical size and mounting standard.,"A motherboard form factor defines physical dimensions, mounting points, and other layout characteristics."
"What are ATX, Micro-ATX, and Mini-ITX?",Think common motherboard sizes.,"They are motherboard form factors with different physical dimensions, expansion capabilities, and case compatibility."
What is an expansion slot?,"Think adding a graphics card, network adapter, or other expansion card.",An expansion slot provides an interface for installing additional hardware.
What is PCIe?,Think the primary modern high-speed expansion bus.,"PCI Express is a high-speed serial expansion interface used by GPUs, NVMe adapters, network cards, and other devices."
What does PCIe lane width mean?,"Think x1, x4, x8, x16.",Lane width indicates how many PCIe communication lanes are allocated to a device.
What is a chipset?,Think motherboard logic that helps coordinate communication and platform features.,A chipset is a collection of controller functions that supports communication and features around the CPU and motherboard.
What is a CPU socket?,Think where the processor physically and electrically connects to the motherboard.,A CPU socket provides the mechanical and electrical interface for a compatible processor.
What is a heat pipe?,Think moving heat from a hot component to a larger heatsink.,"A heat pipe transfers heat efficiently from one area to another, commonly using phase changes of an internal fluid."
What is liquid cooling?,Think circulating coolant through a water block and radiator.,"Liquid cooling transfers heat from a component to a coolant, which carries it to a radiator for dissipation."
What is airflow direction inside a PC important for?,Fans aren't simply there to spin; their direction determines the thermal path.,Correct airflow moves cool air toward components and hot air out of the case.
What is positive case pressure?,Think slightly more intake airflow than exhaust airflow.,"Positive pressure means the case receives slightly more intake air than it exhausts, which can help control where air and dust enter."
What is a failing fan likely to cause?,Think heat rather than immediate data corruption.,"A failed fan can reduce cooling and cause overheating, throttling, instability, or shutdowns."
What is SMART on a storage drive?,Think drive health monitoring.,SMART provides drive health and diagnostic information that can help identify potential storage failures.
What symptoms can indicate an SSD/HDD failure?,"Think data errors, slow access, missing files, and boot failures.","Symptoms can include corrupted data, read/write errors, unusual HDD noises, disappearing drives, SMART warnings, and boot failures."
Why should a failing drive be backed up before extensive troubleshooting when possible?,"Once a drive fails completely, recovery can become much harder.",Preserving data is usually more important than immediately experimenting with the failing drive.
What is a backup?,Think another copy of data that can be restored after loss.,"A backup is a separate copy of data maintained so it can be restored after deletion, corruption, failure, or disaster."
What is the 3-2-1 backup concept?,"Think three copies, two types of media, one copy elsewhere.","Keep at least three copies of data, on two different media types, with at least one copy off-site."
What is a full backup?,Think everything in the selected backup set.,A full backup copies all selected data.
What is an incremental backup?,Think only data changed since the previous backup of any type.,An incremental backup stores changes made since the last backup.
What is a differential backup?,Think changes since the last full backup.,A differential backup stores changes made since the most recent full backup.
What is cloud backup?,Think storing backup data with a cloud provider rather than only on local hardware.,"Cloud backup stores backup copies on remote provider infrastructure, often over the Internet."
What is a bare-metal restore?,Think restoring an entire computer system rather than just individual files.,A bare-metal restore restores a system to usable hardware without requiring the original operating environment to already be installed.
What is imaging?,Think capturing an entire disk or system state rather than selecting individual files.,Disk/system imaging creates a sector/file-level image that can be restored to recreate a system or disk.
What is a recovery partition?,Think a special area on a storage drive used to help repair or restore the operating system.,A recovery partition contains recovery tools or system files used for repair/reset/recovery.
What is system restore in Windows?,Think rolling certain system configuration and software changes backward without necessarily restoring personal files.,"System Restore can revert system files, drivers, registry settings, and installed-program state to a previous restore point."
What is the difference between rebooting and restarting a service?,One affects the whole operating system; the other targets a specific background process/service.,A reboot restarts the operating system; restarting a service affects only that service and its dependencies.
A network printer suddenly stops responding after a switch change. What should you check first?,Think whether the printer still has a valid physical and logical network path.,"Check link lights, switch port/VLAN, IP address, gateway, DHCP/static configuration, and network reachability."
A printer has an IP address of 192.168.1.50 but the PC is 10.0.0.20. What should you question?,Compare the networks before blaming the printer.,The devices may be on different subnets and require appropriate routing; verify whether that addressing is intentional and whether a gateway/routes exist.
What is a static IP address?,Think manually assigned rather than leased by DHCP.,A static IP is configured manually and generally remains fixed until changed.
When is a static IP useful for a network printer?,You don't want a printer's address changing unexpectedly and breaking mappings.,"A stable address can simplify printer management and client configuration, though DHCP reservations are also commonly used."
What is a DHCP reservation?,Think automatic addressing with a predictable result.,"A DHCP reservation causes a particular client, identified by its MAC/client identifier, to receive a consistent IP address."
What is a default route?,Think where packets go when there isn't a more specific route.,A default route is used when no more specific routing-table entry matches the destination.
What is a routing table?,Think the map a device uses to decide where packets should go.,A routing table contains network destinations and the next-hop/interface used to reach them.
What does route print show on Windows?,Think the Windows routing table.,route print displays the local routing table and related interface information.
What does arp -a show on Windows?,Think cached local IP-to-MAC mappings.,arp -a displays the ARP cache.
What is the purpose of a loopback address?,Think testing the local TCP/IP stack without relying on the physical network.,The IPv4 loopback address is 127.0.0.1; IPv6 uses ::1.
"If ping 127.0.0.1 works but ping the default gateway fails, what does that tell you?","The local TCP/IP stack works, but something farther away may not.","The local protocol stack is functioning; investigate the NIC, cable/Wi-Fi, local network, gateway, or addressing."
"If ping the gateway works but ping 8.8.8.8 fails, what should you investigate?","Local LAN connectivity works, so move outward.","Investigate routing beyond the gateway, ISP connectivity, firewall rules, NAT, and upstream problems."
"If ping 8.8.8.8 works but a website name fails, what should you investigate?",You have Internet reachability but name resolution is suspect.,"Investigate DNS configuration, DNS server availability, and local DNS caching."
What is the CompTIA troubleshooting mindset that prevents wasted time?,"Think evidence first, guesses second.","Gather symptoms, establish a probable cause, test it, make one controlled change when possible, verify the fix, and document it."
Why should you change one variable at a time when troubleshooting?,"If you replace five things simultaneously, you don't know which change mattered.",Changing one variable at a time preserves cause-and-effect information and makes the diagnosis easier to reproduce.
What should you do before opening a customer's computer?,"Think safety, authorization, and preserving the customer's environment.","Confirm the problem and authorization, protect against ESD, follow safety procedures, and protect/record customer data as appropriate."
What is a good first question when a user reports a vague computer problem?,"You need a reproducible symptom, not just 'it doesn't work.'","Ask the user what changed, what they were doing when it happened, when it started, and what exactly they observe."
"A user says 'the Internet is down,' but another employee is online. What should you ask?",The user's description may be broader than the actual fault.,"Determine whether the issue affects only their device, which applications fail, whether Wi-Fi/Ethernet is connected, and what error they see."
Why is reproducing a problem valuable?,Seeing the failure yourself gives you much better evidence.,"Reproducing the problem helps verify symptoms, identify patterns, test theories, and confirm the final fix."
What does a blue-screen memory error after adding RAM suggest?,"Think compatibility, seating, or defective memory before blaming Windows applications.","Check memory compatibility, module seating, BIOS settings, and run appropriate memory diagnostics."
What does a SMART warning on an HDD suggest?,The drive is giving you an early warning rather than a normal performance complaint.,Treat it as a potential drive-failure warning and prioritize backup/replacement.
A laptop is extremely slow only when running on battery. What power setting should you investigate?,Many laptops change performance profiles when unplugged.,"Check the operating system's power plan, battery health, thermal behavior, and manufacturer performance settings."
What is a power plan?,Think Windows deciding how aggressively the system uses power and performance resources.,"A power plan controls settings related to processor performance, display timeout, sleep, and power usage."
A laptop doesn't charge even though the charger is connected. What should you check?,"Separate the wall outlet, adapter, connector, battery, and charging circuitry.","Check the outlet, charger/adapter, cable, charging port, battery condition, indicator lights, and system charging settings."
What is USB-C alternate mode?,USB-C is a connector; some devices can send display signals through it.,Alternate modes allow USB-C connections to carry protocols such as DisplayPort when supported.
What is a docking station's biggest career advantage for an office worker?,Think one cable replacing a pile of daily connections.,"A dock simplifies connecting displays, Ethernet, USB peripherals, audio, and power to a laptop."
What is a mobile device's MDM enrollment useful for an IT department?,Think standardized configuration rather than configuring every phone manually.,"MDM enrollment allows centralized policies, application deployment, security settings, inventory, and remote management."
What is a firmware update?,Think software stored close to the hardware that controls device behavior.,"A firmware update changes software stored on hardware devices to add features, improve compatibility, or fix bugs/security issues."
Why should firmware updates be performed carefully?,A failed firmware update can leave hardware unable to start normally.,"Firmware flashing can be sensitive to power loss, incorrect files, or interruptions and should follow manufacturer procedures."
What is a driver update?,Think software used by the operating system to control hardware.,A driver update replaces or updates the software interface between the OS and hardware.
Why can a driver update sometimes make a system worse?,Newer doesn't always mean compatible with every system.,"A driver may contain bugs, introduce compatibility issues, or conflict with existing software/hardware."
What is virtualization useful for in a career setting?,Think one physical server running multiple isolated workloads.,"Virtualization can improve hardware utilization, simplify testing/deployment, and reduce physical infrastructure requirements."
What is a sandbox?,Think a controlled environment where software can be tested without exposing the main system as directly.,A sandbox isolates software or workloads to reduce risk and make testing safer.
What is a VM's virtual NIC?,A VM needs network connectivity just like a physical computer.,A virtual NIC is a software-defined network adapter presented to a virtual machine by the hypervisor.
What is NAT in a virtual machine environment?,Think a VM reaching the Internet without appearing as an independently routed machine on the physical LAN.,NAT allows a VM to share the host's network connection through address translation.
What is bridged networking for a VM?,Think the VM appearing directly on the physical network like another machine.,Bridged networking connects the VM's virtual NIC to the physical network so it can obtain/use an address on that network.
What is host-only networking?,Think a private network between the host and its VMs without normal external access.,Host-only networking provides connectivity between the host and virtual machines on an isolated virtual network.
What is cloud multitenancy?,Think multiple customers using shared provider infrastructure while remaining logically isolated.,Multitenancy means cloud infrastructure/resources are shared among multiple customers with logical isolation.
What is a service-level agreement (SLA)?,Think the provider's promised service expectations.,"An SLA defines agreed service expectations such as availability, response times, and support responsibilities."
What is high availability?,Think designing systems to minimize downtime rather than waiting for one server to fail.,High availability uses redundancy and design techniques to keep services operational despite failures.
What is fault tolerance?,Think continuing operation despite a component failure.,Fault tolerance means a system can continue functioning when one or more components fail.
What is redundancy?,Think having another component ready to take over.,Redundancy provides duplicate or alternate components/resources to reduce the impact of failures.
What is a single point of failure?,"If this one component dies, the entire service goes down.",A single point of failure is a component whose failure can cause the service/system to fail because no adequate redundancy exists.
What is the difference between availability and reliability?,One concerns being operational when needed; the other concerns consistent operation over time.,Availability measures how often a service is usable; reliability concerns consistent operation without failure over time.
A company wants employees to use a hosted email application without managing mail servers. Which cloud model fits?,They're consuming a complete application.,SaaS.
A developer wants a managed application runtime without managing the underlying operating system. Which cloud model fits?,"They need a platform, not raw virtual machines.",PaaS.
A company wants virtual servers and storage from a cloud provider and will manage the operating systems itself. Which model fits?,They are renting infrastructure rather than a finished application.,IaaS.
A technician wants to verify whether TCP 443 is listening locally on Linux. What could they use?,Think socket inspection.,ss -lntp or another appropriate ss/netstat command.
A Windows technician wants to determine which process owns a listening TCP port. What could they use?,Think netstat combined with process IDs.,netstat -ano can display the PID; Task Manager or tasklist can then help identify the process.
A user reports slow file access to a Windows server. What protocol might be involved?,Think Windows file sharing.,"SMB, commonly over TCP 445."
A Linux server needs to provide remote command-line access securely. What protocol should you think of?,Think encrypted alternative to Telnet.,"SSH, normally TCP 22."
Why should Telnet generally not be used for sensitive remote administration?,Think about whether credentials are protected while crossing the network.,"Traditional Telnet transmits traffic, including credentials, without the encryption provided by SSH."
What is SFTP?,Think secure file transfer through an SSH connection.,SFTP is the SSH File Transfer Protocol and commonly operates over TCP 22.
Is SFTP the same thing as FTPS?,"Both can secure file transfers, but don't confuse their underlying technologies.",No. SFTP runs over SSH; FTPS uses FTP with TLS.
What is FTPS?,Think FTP protected using TLS.,FTPS is FTP secured with TLS.
What is an MX record used for in troubleshooting email?,"If mail isn't arriving, DNS may tell you where it should be delivered.",MX records identify the mail servers responsible for receiving mail for a domain.
What is a mail relay?,Think a mail server forwarding messages to another mail server.,A mail relay accepts mail for forwarding to another destination according to its configuration and policies.
What is SMTP used for?,Think sending/relaying email rather than reading a mailbox.,SMTP is used for sending and relaying email.
What is IMAP useful for on a phone and laptop?,Both devices should see the same mailbox state.,IMAP keeps mail synchronized on the server so multiple clients can maintain a consistent mailbox.
What is POP3's major limitation compared with IMAP?,Think a protocol originally designed around downloading mail.,POP3 is primarily designed for retrieving mail and traditionally provides less server-side synchronization than IMAP.
What is an IP address conflict?,Two devices cannot normally use the same IPv4 address on the same network segment without problems.,"An IP address conflict occurs when multiple devices are configured or assigned the same IP address, causing connectivity problems."
What symptoms can an IP conflict cause?,Think intermittent or confusing connectivity.,"Devices may experience intermittent connectivity, ARP changes, duplicate-address warnings, or inability to communicate reliably."
What can cause DHCP exhaustion?,The DHCP server has a finite pool of addresses.,Too many active leases or a malicious/incorrectly configured device consuming addresses can exhaust the available DHCP scope.
What is a DHCP scope?,Think the pool of addresses a DHCP server can hand out.,A DHCP scope defines the range and associated options from which a DHCP server leases addresses.
What is lease time in DHCP?,The address isn't necessarily yours forever.,Lease time defines how long a DHCP client may use an assigned address before renewal is required.
What is a subnet?,Think a logical division of an IP network.,A subnet is a logical subdivision of an IP network defined by its address and mask/prefix.
What is CIDR notation?,Think 192.168.1.0/24.,CIDR notation represents an IP network using an address followed by a prefix length indicating how many bits belong to the network.
What does /32 represent in IPv4 CIDR?,All 32 bits are part of the prefix.,A /32 represents one IPv4 address.
What does /0 represent?,No bits are fixed as the network prefix.,A /0 represents all IPv4 addresses and is commonly used for a default route.
What is a broadcast address?,Think sending to every host on a subnet.,An IPv4 broadcast address targets all hosts on a local subnet.
What is multicast?,Think one sender communicating with a selected group rather than everyone.,Multicast delivers traffic to a subscribed group of receivers.
What is unicast?,Think one sender to one destination.,Unicast is one-to-one network communication.
What is broadcast?,Think one sender to every host in the broadcast domain.,Broadcast is one-to-all communication within a broadcast domain.
What is a wireless controller?,Think centrally managing many enterprise access points.,A wireless LAN controller centrally manages and coordinates enterprise wireless access points.
What is an SSID versus BSSID?,One identifies the network name; the other identifies a specific wireless radio/access point interface.,"SSID is the wireless network name; BSSID identifies a specific basic service set, commonly represented by an AP radio's MAC address."
What is a rogue DHCP server?,Imagine an unauthorized device handing out incorrect gateways to clients.,A rogue DHCP server is an unauthorized DHCP service that can provide incorrect network settings and disrupt or redirect traffic.
A user receives a strange default gateway and DNS server after connecting to office Ethernet. What should you suspect?,DHCP normally supplies those settings automatically.,Investigate the DHCP server and consider whether an unauthorized/rogue DHCP server is responding.
What is an ARP spoofing attack conceptually?,Think a device falsely claiming ownership of another IP address's MAC mapping.,ARP spoofing involves sending false ARP information so traffic is associated with an attacker's MAC address.
Why can ARP spoofing be dangerous?,Traffic intended for another device may be redirected.,It can enable traffic interception or disruption on affected local networks.
What is the practical purpose of a network diagram?,Think troubleshooting and understanding dependencies.,"A network diagram documents devices, links, addressing, and topology, making troubleshooting and maintenance easier."
Why should an IT technician label cables?,A cable that looks identical to twenty others isn't useful if nobody knows where it goes.,"Labels reduce troubleshooting time, prevent accidental disconnections, and improve maintenance."
What is change management?,Think avoiding unexpected consequences when modifying production systems.,"Change management provides a controlled process for planning, approving, implementing, and documenting changes."
Why should you obtain user confirmation after fixing a problem?,The technician may think the issue is fixed while the user still cannot do their job.,User confirmation verifies that the original business-impacting problem is actually resolved.
What is a knowledge base in IT support?,Think a searchable collection of known fixes and procedures.,"A knowledge base stores documented troubleshooting steps, solutions, procedures, and technical information for reuse."
What is escalation?,"Some problems exceed the technician's authority, expertise, or access.","Escalation transfers an issue to a more appropriate technician, team, vendor, or support level."
What is a vendor support case useful for?,Think problems involving proprietary hardware/software or suspected defects.,"A vendor case provides access to manufacturer expertise, documentation, replacement processes, and specialized troubleshooting."
What is the difference between a symptom and a root cause?,One is what you observe; the other explains why it happened.,A symptom is an observable effect; the root cause is the underlying reason the problem occurred.
A user says their PC is slow. What is a better troubleshooting question than 'What's wrong?',You need measurable symptoms and timing.,"Ask when it became slow, what applications are affected, whether the slowness is constant, and what changed around the time it began."
A PC is slow because the storage drive is nearly full. Is replacing the CPU necessarily the right fix?,Don't fix the most expensive component just because performance is poor.,"No. Address the actual bottleneck first; free space, remove unnecessary data/software, and investigate storage performance before replacing unrelated hardware."
"A browser cannot reach websites, but other applications have Internet access. What should you investigate?",The network may be fine while browser-specific configuration is not.,"Check browser proxy settings, extensions, DNS/cache behavior, security software, certificates, and browser configuration."
What is a proxy configuration error?,Think a browser being told to send traffic through an unavailable intermediary.,An incorrect proxy setting can prevent web traffic even though general network connectivity works.
What is an SSL/TLS certificate used for?,Think HTTPS and verifying the identity of the server while encrypting communication.,A TLS certificate helps authenticate a server identity and enables encrypted TLS communication.
What does a certificate warning in a browser potentially indicate?,The browser cannot establish expected trust in the site's certificate.,"Possible causes include expiration, hostname mismatch, an untrusted issuer, incorrect system time, or interception/security software."
Why can incorrect system time cause HTTPS problems?,Certificates have validity periods.,"If the system clock is significantly wrong, certificates may appear expired or not-yet-valid."
What is a CMOS battery commonly used for?,Think preserving firmware settings and clock information when the computer is powered off.,A motherboard battery helps maintain real-time clock and certain firmware settings when the system is powered off.
What symptoms can indicate a failing CMOS battery?,Think settings that mysteriously reset after power is removed.,"Incorrect system time, lost firmware settings, or repeated firmware configuration warnings can indicate a weak battery."
What is a POST card useful for?,Think diagnosing startup problems before the operating system loads.,A POST diagnostic card can display hardware/firmware diagnostic codes during startup.
What is a beep code?,"If there is no display, firmware can still communicate certain hardware failures acoustically.",A beep code is a pattern of audible signals used by firmware to indicate POST/hardware conditions.
What is a diagnostic LED on a motherboard useful for?,"Think CPU, DRAM, VGA, and boot indicators.",Diagnostic LEDs can identify which hardware initialization stage is failing.
What is a hardware compatibility list/QVL?,Think a manufacturer's tested list of compatible components.,A Qualified Vendor List or compatibility list identifies components tested or supported by a motherboard/system manufacturer.
Why should you check motherboard documentation before installing a CPU?,The socket alone doesn't guarantee compatibility.,"The motherboard may require a specific CPU generation, BIOS version, power delivery capability, or memory configuration."
What is a BIOS/UEFI firmware update sometimes required for after installing a newer CPU?,The motherboard needs to recognize and initialize the new processor.,A newer firmware version may add CPU microcode/support required for the processor.
What is virtualization support in a CPU?,Think Intel VT-x or AMD-V.,CPU virtualization extensions allow hypervisors to efficiently run virtual machines.
What is hardware-assisted virtualization?,The processor provides features specifically designed to support virtualization.,Hardware-assisted virtualization uses CPU virtualization extensions to improve VM isolation and execution.
What is memory overcommitment in virtualization?,Think assigning VMs more virtual RAM than the host physically has available.,"Memory overcommitment occurs when allocated virtual memory exceeds physical host memory, potentially causing performance problems."
What is CPU overcommitment?,Think assigning more virtual CPU capacity than the host has physical processing resources.,CPU overcommitment occurs when virtual CPU allocations exceed physical CPU capacity and can reduce performance under load.
What is a virtual switch?,VMs need something analogous to a physical Ethernet switch.,A virtual switch connects virtual network interfaces and can connect VMs to physical networks.
What is a VM template?,Think a standardized master image used to deploy multiple VMs.,A VM template is a preconfigured baseline used to create consistent virtual machines.
What is cloud storage?,Think data stored on provider infrastructure and accessed through a network.,Cloud storage provides remote storage capacity through a cloud service.
What is object storage?,Think storing data as objects with metadata rather than traditional local filesystem blocks/files.,Object storage stores objects with associated metadata and unique identifiers and is commonly used for large-scale cloud data.
What is a cloud region?,Think a geographic area containing provider infrastructure.,A cloud region is a geographic area containing one or more cloud infrastructure locations.
What is an availability zone?,Think an isolated infrastructure location within a cloud region designed to improve resilience.,"An availability zone is a distinct infrastructure location within a cloud region, designed so workloads can be distributed for resilience."
What is cloud backup versus cloud storage?,One is primarily for recoverability; the other can act as an active storage service.,Cloud backup focuses on maintaining recoverable copies; cloud storage provides general-purpose remote data storage.
Why is redundancy important in cloud design?,Cloud doesn't automatically mean nothing can fail.,Redundancy reduces dependence on a single component or location and improves availability.
What is an endpoint?,Think the device at the edge where a user or application connects to the network.,"An endpoint is a device or system that participates in network communication, such as a PC, phone, printer, or server."
What is an IoT device?,"Think connected sensors, cameras, thermostats, or appliances.","An Internet of Things device is a connected physical device that can collect, communicate, or act on data."
What is a smart device security concern?,Many small devices still connect to the network and may have weak security controls.,"IoT/smart devices can introduce vulnerabilities through weak passwords, outdated firmware, unnecessary services, and poor network isolation."
Why might a company put IoT devices on a separate VLAN?,Think reducing what a compromised device can reach.,Network segmentation can limit an IoT device's access to sensitive systems.
What is network segmentation?,Think dividing one network into controlled security/traffic zones.,"Network segmentation separates systems into logical network areas using technologies such as VLANs, routing, and firewalls."
What is a DMZ?,Think a network segment for services that need controlled exposure to external networks.,A DMZ is a segmented network designed to isolate publicly accessible services from internal systems.
What is a bastion host?,Think a hardened system designed to provide controlled administrative access.,A bastion host is a specially secured system used as an access point to protected systems.
What is least privilege?,Give a user or service only what it actually needs.,Least privilege limits permissions and access to the minimum required to perform a task.
What is authentication?,Think proving who you are.,Authentication verifies an identity.
What is authorization?,Think deciding what that authenticated identity is allowed to do.,Authorization determines permitted actions/resources after identity is established.
What is accounting in AAA?,Think recording what happened after authentication and authorization.,Accounting tracks activity/resource usage for auditing and monitoring.
What does AAA stand for in networking/security?,"Think identity, permissions, and activity records.","Authentication, Authorization, and Accounting."
What is MFA?,Think password plus another independent factor.,Multi-factor authentication requires two or more authentication factors from different categories.
What are the three common authentication factor categories?,"Think something you know, have, and are.","Something you know, something you have, and something you are."
What is a strong password characteristic?,Long passphrases are generally easier to remember and can provide substantial entropy.,"A strong password is long, unique, difficult to guess, and not reused across services."
Why is password reuse dangerous?,One compromised website can become a key to other accounts.,"If the same password is reused, a breach at one service can expose other accounts."
What is phishing?,Think a fake message designed to trick a user into revealing information or taking an unsafe action.,Phishing is social engineering that attempts to deceive users into disclosing information or performing actions.
What should a technician do when a user reports a suspicious phishing email?,Don't treat the user's report as an inconvenience; it can prevent a breach.,"Follow the organization's security reporting process, avoid interacting with suspicious content, and preserve the message for investigation."
What is a firewall rule's source/destination/port concept?,"Think who, where, and what service.","Rules commonly evaluate source/destination addresses, protocols, ports, direction, and connection state."
Why can opening every port on a firewall be a bad troubleshooting technique?,It may make the problem disappear by removing the protection entirely.,It creates unnecessary exposure and can hide the actual misconfiguration; test and allow only the required traffic.
What is a DMZ useful for in a SOHO or small business?,Think isolating publicly reachable services from internal clients.,A DMZ can provide a separate security zone for services that need controlled external access.
What is port forwarding?,A device on the Internet needs to reach a service behind a private NAT router.,Port forwarding maps incoming traffic on a public address/port to an internal host/port.
Why is port forwarding potentially risky?,It makes an internal service reachable from outside.,Port forwarding increases exposure and should be limited to necessary services with strong security controls.
What is UPnP?,Think devices automatically asking a router to configure port mappings.,"Universal Plug and Play can allow applications/devices to automatically configure network services, but it can create security risks if improperly controlled."
What is QoS most useful for in a congested network?,Think traffic that is sensitive to delay rather than traffic that can wait.,QoS can prioritize latency-sensitive traffic such as voice/video over less time-sensitive traffic.
What is bandwidth saturation?,Think the network link is completely occupied.,Bandwidth saturation occurs when offered traffic approaches or exceeds available link capacity.
What does packet fragmentation mean?,A packet is too large for a network link's MTU.,Fragmentation breaks an IP packet into smaller pieces so it can traverse a network with a smaller maximum transmission unit.
What is MTU?,Think maximum packet size a link can carry without fragmentation.,Maximum Transmission Unit is the largest packet size that can normally be transmitted over a network interface/link.
What symptoms can an MTU problem cause?,Some sites or VPN applications may fail while simple connectivity tests work.,"MTU issues can cause intermittent connectivity, failed large transfers, or applications that work only partially."
What is a VPN tunnel's MTU issue?,Adding VPN encapsulation can reduce the space available for the original packet.,VPN overhead can lower the effective MTU and may require appropriate MTU/MSS handling.
What is MSS in TCP?,Think the amount of TCP payload that can fit inside a segment.,Maximum Segment Size is the largest TCP payload size an endpoint advertises for a connection.
What is NAT traversal important for VoIP?,Voice signaling and media can have trouble crossing address translation.,VoIP may require NAT-aware configuration or mechanisms such as STUN/TURN/ICE depending on the architecture.
What is STUN used for in VoIP/WebRTC-style communications?,Think discovering the public-facing address/port created by NAT.,STUN helps an endpoint discover how it appears from outside its NAT device.
What is TURN used for?,Think when direct peer-to-peer media can't get through NAT/firewalls.,TURN provides a relay server for media when direct connectivity is not possible.
What is ICE?,Think a framework for finding the best possible path between communication endpoints.,"ICE gathers and tests possible connectivity candidates, commonly using STUN and/or TURN."
What is SIP?,Think call setup and control rather than the voice stream itself.,"SIP is a signaling protocol used to establish, modify, and terminate multimedia communication sessions such as VoIP calls."
What is RTP?,Think actual real-time audio/video packets.,RTP transports real-time media such as voice and video.
What is RTCP?,Think companion control information for RTP.,"RTCP provides control, statistics, and quality information associated with RTP sessions."
A VoIP phone registers successfully but calls have no audio. What is a strong troubleshooting direction?,"Registration proves signaling is working, but media is separate.","Investigate RTP media paths, NAT/firewall rules, negotiated media ports/codecs, and routing."
What is a VoIP codec?,Think how voice is encoded into digital audio.,"A codec encodes and decodes audio/video and can affect bandwidth, quality, and compatibility."
What is G.711?,"Think a common higher-bandwidth, relatively uncompressed voice codec.",G.711 is a common PCM voice codec that provides high-quality audio but uses more bandwidth than compressed codecs.
