Question,Hint,Answer
What is an IAM policy?,Think permissions attached to identities or resources.,A JSON-based document that defines allowed or denied actions on AWS resources.
What is the difference between an IAM role and IAM user?,One has long-term identity credentials; the other is commonly assumed for temporary access.,An IAM user is a persistent identity; an IAM role is an identity that can be assumed to obtain temporary credentials.
What is AWS RAM?,Think share resources across accounts.,"AWS Resource Access Manager allows supported AWS resources to be shared across AWS accounts, organizational units, or the organization."
What is AWS Directory Service?,Think managed directory options.,A service offering managed directory capabilities such as Microsoft Active Directory integration.
What is Amazon Cognito primarily for?,Think application users rather than AWS administrators.,Adding authentication and user identity capabilities to web and mobile applications.
What is AWS CloudFormation used for?,Think repeatable infrastructure deployment.,Defining and provisioning AWS resources using templates.
What is AWS Control Tower used for?,Think governed multi-account environment.,Automating setup and governance of a secure multi-account AWS environment.
What is AWS Service Catalog?,Think approved catalog of deployable resources.,A service for creating and managing catalogs of approved IT services and resources for users to deploy.
What is AWS Compute Optimizer?,Think right-size resources.,A service that provides recommendations for optimizing supported AWS resource configurations based on utilization data.
What is Amazon Lightsail intended for compared with EC2?,Think simpler experience.,"Lightsail provides simplified, predictable infrastructure for smaller applications and workloads, while EC2 offers much broader configuration and control."
What is AWS Fargate intended for?,Think containers without server management.,Running containers without managing the underlying EC2 instances.
What is AWS Lambda's billing model generally based on?,Think executions and compute duration.,"Lambda pricing is primarily based on requests and compute duration, with other applicable charges depending on features and usage."
What is an AWS Lambda function?,Think the unit of code Lambda executes.,A piece of code deployed to AWS Lambda that runs in response to events or invocations.
What is an event-driven architecture?,Think events trigger actions.,An architecture in which systems respond to events rather than relying solely on direct synchronous requests.
What is decoupling in cloud architecture?,Think components don't depend tightly on one another.,Designing components so they can operate independently and communicate through interfaces or messaging mechanisms.
What AWS service is commonly used to decouple applications with queues?,Think managed message queue.,Amazon SQS.
What AWS service is commonly used for pub/sub notifications?,Think publish to many subscribers.,Amazon SNS.
What AWS service routes events between AWS services and applications?,Think event bus.,Amazon EventBridge.
What AWS service orchestrates multi-step serverless workflows?,Think state machine/workflow.,AWS Step Functions.
What is AWS Marketplace used for?,Think third-party products available through AWS.,"Finding, purchasing, deploying, and managing third-party software and services."
What are AWS Support plans used for?,Think technical and account assistance.,"They provide different levels of AWS technical support, guidance, and response depending on the plan."
What is the AWS Support Center?,Think central place to manage AWS support cases.,The AWS interface used to create and manage AWS Support cases and access support resources.
